cover_cell_id,n_intervals,overlap_frac,evidence_origin,status,joint_recovered,coverage_fraction,d_B,W_1,n_nodes,n_edges,beta0_graph,beta1_graph,beta0_nerve,beta1_nerve,benchmark
L05_P010,5,0.1,III2A_new_confirmatory,success,True,1.0,0.1598595462541259,0.3197190925082518,8,8,1,1,1,1,unit_circle_S1
L05_P020,5,0.2,III2A_new_confirmatory,success,True,1.0,0.17483866247863833,0.34967732495727666,8,8,1,1,1,1,unit_circle_S1
L05_P030,5,0.3,III2A_new_confirmatory,success,True,1.0,0.19404250386578814,0.3880850077315763,8,8,1,1,1,1,unit_circle_S1
L05_P040,5,0.4,III2A_new_confirmatory,success,True,1.0,0.20747314698250774,0.4149462939650155,8,8,1,1,1,1,unit_circle_S1
L05_P050,5,0.5,III2A_new_confirmatory,success,True,1.0,0.23392291100345264,0.4678458220069053,8,8,1,1,1,1,unit_circle_S1
L10_P010,10,0.1,III2A_new_confirmatory,success,True,1.0,0.075723896565011,0.151447793130022,18,18,1,1,1,1,unit_circle_S1
L10_P020,10,0.2,III2A_new_confirmatory,success,True,1.0,0.08503568844262496,0.17007137688524998,18,18,1,1,1,1,unit_circle_S1
L10_P030,10,0.3,sealed_III1_anchor,success,True,,0.09683077738086054,0.1936615547617211,18,18,1,1,1,1,unit_circle_S1
L10_P040,10,0.4,III2A_new_confirmatory,success,True,1.0,0.11421105695129408,0.22842211390258815,18,18,1,1,1,1,unit_circle_S1
L10_P050,10,0.5,III2A_new_confirmatory,success,True,1.0,0.13231350665702546,0.2646270133140509,18,18,1,1,1,1,unit_circle_S1
L15_P010,15,0.1,III2A_new_confirmatory,success,False,1.0,1.0,2.6260555418562515,28,23,5,0,5,0,unit_circle_S1
L15_P020,15,0.2,III2A_new_confirmatory,success,True,1.0,0.059167103440500246,0.11833420688100049,28,28,1,1,1,1,unit_circle_S1
L15_P030,15,0.3,III2A_new_confirmatory,success,True,1.0,0.06707553648119244,0.13415107296238493,28,28,1,1,1,1,unit_circle_S1
L15_P040,15,0.4,III2A_new_confirmatory,success,True,1.0,0.07297635157814764,0.14595270315629527,28,28,1,1,1,1,unit_circle_S1
L15_P050,15,0.5,III2A_new_confirmatory,success,True,1.0,0.08650426461873983,0.17300852923747967,28,28,1,1,1,1,unit_circle_S1
L20_P010,20,0.1,III2A_new_confirmatory,success,False,1.0,1.0,3.186515931197096,38,32,6,0,6,0,unit_circle_S1
L20_P020,20,0.2,III2A_new_confirmatory,success,True,1.0,0.04397280138188797,0.08794560276377594,38,38,1,1,1,1,unit_circle_S1
L20_P030,20,0.3,III2A_new_confirmatory,success,True,1.0,0.0494742978089493,0.0989485956178986,38,38,1,1,1,1,unit_circle_S1
L20_P040,20,0.4,III2A_new_confirmatory,success,True,1.0,0.0574121139753586,0.11482422795071723,38,38,1,1,1,1,unit_circle_S1
L20_P050,20,0.5,III2A_new_confirmatory,success,True,1.0,0.06831871673969278,0.13663743347938562,38,38,1,1,1,1,unit_circle_S1
L25_P010,25,0.1,III2A_new_confirmatory,success,False,1.0,1.0,2.9010682469881344,48,43,5,0,5,0,unit_circle_S1
L25_P020,25,0.2,III2A_new_confirmatory,success,False,1.0,1.0,1.9459405236846177,48,47,1,0,1,0,unit_circle_S1
L25_P030,25,0.3,III2A_new_confirmatory,success,True,1.0,0.0399157969387105,0.079831593877421,48,48,1,1,1,1,unit_circle_S1
L25_P040,25,0.4,III2A_new_confirmatory,success,True,1.0,0.04503991178714316,0.09007982357428634,48,48,1,1,1,1,unit_circle_S1
