cell_id,benchmark,sample_size,cover_cell_id,n_intervals,overlap_frac,d_B_count,d_B_median,d_B_q1,d_B_q3,d_B_min,d_B_max,W1_count,W1_median,W1_q1,W1_q3,W1_min,W1_max,cov_median,cov_q1,cov_q3,cov_min,cov_max
unit_circle_S1__N100__L05_P010,unit_circle_S1,100,L05_P010,5,0.1,30,1.0,1.0,1.0,1.0,1.0,30,2.1506297991800727,2.007191722115442,2.2935219218285,1.3839985057608826,2.4481887761621115,0.97,0.96,0.98,0.93,1.0
unit_circle_S1__N100__L05_P030,unit_circle_S1,100,L05_P030,5,0.3,30,1.0,1.0,1.0,1.0,1.0,30,2.036539644657126,1.9373464451529834,2.254384617397251,1.4588898792619804,2.5107857440308536,0.98,0.97,0.9875,0.93,1.0
unit_circle_S1__N100__L05_P050,unit_circle_S1,100,L05_P050,5,0.5,30,1.0,1.0,1.0,1.0,1.0,30,2.106626773364645,1.930673425273372,2.2194857887436807,1.5280508766324885,2.499185570682788,0.98,0.97,0.99,0.93,1.0
unit_circle_S1__N100__L15_P010,unit_circle_S1,100,L15_P010,15,0.1,30,1.0,1.0,1.0,1.0,1.0,30,2.1300140955301345,2.106543458834443,2.1989243129326406,2.020134531879994,2.3844514113803066,0.85,0.8225,0.86,0.76,0.93
unit_circle_S1__N100__L15_P030,unit_circle_S1,100,L15_P030,15,0.3,30,1.0,1.0,1.0,1.0,1.0,30,2.433974981069359,2.3069972733104844,2.5403019104362645,1.8011805018643412,2.719559471836334,0.93,0.91,0.95,0.85,0.97
unit_circle_S1__N100__L15_P050,unit_circle_S1,100,L15_P050,15,0.5,30,1.0,1.0,1.0,1.0,1.0,30,2.2664514442292973,2.012884236119205,2.512088938106011,1.5870350661694401,2.6702488807496643,0.97,0.96,0.98,0.93,1.0
unit_circle_S1__N100__L25_P010,unit_circle_S1,100,L25_P010,25,0.1,30,1.0,1.0,1.0,1.0,1.0,30,2.070064786214222,2.035913337452766,2.1062248207866445,2.0,2.1690834720822263,0.705,0.67,0.71,0.59,0.78
unit_circle_S1__N100__L25_P030,unit_circle_S1,100,L25_P030,25,0.3,30,1.0,1.0,1.0,1.0,1.0,30,2.2773116406989824,2.226248317614389,2.348033716058522,2.1100146829420026,2.4952943838655837,0.81,0.7925,0.8274999999999999,0.73,0.9
unit_circle_S1__N100__L25_P050,unit_circle_S1,100,L25_P050,25,0.5,30,1.0,1.0,1.0,1.0,1.0,30,2.4707376024439514,2.3814702366868064,2.5739661787892607,2.115797580852518,2.751772326076109,0.935,0.9,0.95,0.85,0.96
unit_circle_S1__N300__L05_P010,unit_circle_S1,300,L05_P010,5,0.1,30,0.1709975662463092,0.15642781767782937,1.0,0.13594859840133444,1.0,30,0.3419951324926185,0.31285563535565875,1.7122839700282826,0.2718971968026689,2.8424628532424485,1.0,1.0,1.0,1.0,1.0
unit_circle_S1__N300__L05_P030,unit_circle_S1,300,L05_P030,5,0.3,30,0.19564794603012353,0.18829797837985296,0.20894484439821487,0.17408256488019613,1.0,30,0.39129589206024706,0.376595956759706,0.41788968879642974,0.34816512976039227,1.9879456429550748,1.0,1.0,1.0,1.0,1.0
unit_circle_S1__N300__L05_P050,unit_circle_S1,300,L05_P050,5,0.5,30,0.25092182511015926,0.2418404835187265,0.27089067126426647,0.2279792130536038,1.0,30,0.5018436502203186,0.483680967037453,0.5417813425285329,0.4559584261072076,1.9665405011964303,1.0,1.0,1.0,1.0,1.0
unit_circle_S1__N300__L15_P010,unit_circle_S1,300,L15_P010,15,0.1,30,1.0,1.0,1.0,1.0,1.0,30,2.8118152930511524,2.671277715897089,2.8545885676429177,1.968689350381392,3.0118045983005226,1.0,1.0,1.0,0.9933333333333333,1.0
unit_circle_S1__N300__L15_P030,unit_circle_S1,300,L15_P030,15,0.3,30,1.0,0.07428561256129831,1.0,0.056638370875658595,1.0,30,1.903838367982551,0.14857122512259668,1.9131741095553423,0.11327674175131719,2.7917204922558954,1.0,1.0,1.0,1.0,1.0
unit_circle_S1__N300__L15_P050,unit_circle_S1,300,L15_P050,15,0.5,30,0.09350314889739085,0.08620409350963876,0.10004430090291977,0.07052523594293425,1.0,30,0.18700629779478173,0.17240818701927751,0.2000886018058396,0.1410504718858685,1.9913278235991716,1.0,1.0,1.0,1.0,1.0
unit_circle_S1__N300__L25_P010,unit_circle_S1,300,L25_P010,25,0.1,30,1.0,1.0,1.0,1.0,1.0,30,2.6626131903333485,2.5560293137616634,2.7329137374108887,2.3016526570405564,2.821780508193962,0.98,0.9683333333333334,0.9866666666666667,0.9533333333333334,0.9966666666666667
unit_circle_S1__N300__L25_P030,unit_circle_S1,300,L25_P030,25,0.3,30,1.0,1.0,1.0,1.0,1.0,30,2.9528440200336457,2.6927611655438874,3.0925574305910466,1.757105364207407,3.3200458146503498,0.9966666666666667,0.9933333333333333,0.9991666666666666,0.99,1.0
unit_circle_S1__N300__L25_P050,unit_circle_S1,300,L25_P050,25,0.5,30,1.0,0.05651688498654747,1.0,0.04520326368883097,1.0,30,1.835874394924603,0.11303376997309494,1.9130656463874112,0.09040652737766197,3.007581515530583,1.0,1.0,1.0,0.9966666666666667,1.0
unit_circle_S1__N600__L05_P010,unit_circle_S1,600,L05_P010,5,0.1,30,0.15588788181366264,0.1482334646769407,0.16246461393101713,0.1350011434721012,1.0,30,0.3117757636273253,0.2964669293538814,0.32492922786203426,0.2700022869442025,1.80666970690408,1.0,1.0,1.0,1.0,1.0
