cell_id,benchmark,sample_size,cover_cell_id,n_intervals,overlap_frac,n_planned,n_attempts_executed,n_raw_present,n_success,n_eligible,n_failed_or_missing,k_joint_recovered,p_joint_attempt_level,ci_joint_attempt_level_lower,ci_joint_attempt_level_upper,k_graph_recovered,p_graph_attempt_level,ci_graph_attempt_level_lower,ci_graph_attempt_level_upper,k_nerve_recovered,p_nerve_attempt_level,ci_nerve_attempt_level_lower,ci_nerve_attempt_level_upper,p_joint_success_conditional,ci_joint_success_conditional_lower,ci_joint_success_conditional_upper,k_branch_recovered,p_branch_attempt_level,ci_branch_attempt_level_lower,ci_branch_attempt_level_upper,p_branch_success_conditional,ci_branch_success_conditional_lower,ci_branch_success_conditional_upper
unit_circle_S1__N100__L05_P010,unit_circle_S1,100,L05_P010,5,0.1,30,30,30,30,30,0,0,0.0,0.0,0.11351339317396876,0,0.0,0.0,0.11351339317396876,0,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,,,,,,,
unit_circle_S1__N100__L05_P030,unit_circle_S1,100,L05_P030,5,0.3,30,30,30,30,30,0,0,0.0,0.0,0.11351339317396876,0,0.0,0.0,0.11351339317396876,0,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,,,,,,,
unit_circle_S1__N100__L05_P050,unit_circle_S1,100,L05_P050,5,0.5,30,30,30,30,30,0,0,0.0,0.0,0.11351339317396876,0,0.0,0.0,0.11351339317396876,0,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,,,,,,,
unit_circle_S1__N100__L15_P010,unit_circle_S1,100,L15_P010,15,0.1,30,30,30,30,30,0,0,0.0,0.0,0.11351339317396876,0,0.0,0.0,0.11351339317396876,0,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,,,,,,,
unit_circle_S1__N100__L15_P030,unit_circle_S1,100,L15_P030,15,0.3,30,30,30,30,30,0,0,0.0,0.0,0.11351339317396876,0,0.0,0.0,0.11351339317396876,0,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,,,,,,,
unit_circle_S1__N100__L15_P050,unit_circle_S1,100,L15_P050,15,0.5,30,30,30,30,30,0,0,0.0,0.0,0.11351339317396876,0,0.0,0.0,0.11351339317396876,0,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,,,,,,,
unit_circle_S1__N100__L25_P010,unit_circle_S1,100,L25_P010,25,0.1,30,30,30,30,30,0,0,0.0,0.0,0.11351339317396876,0,0.0,0.0,0.11351339317396876,0,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,,,,,,,
unit_circle_S1__N100__L25_P030,unit_circle_S1,100,L25_P030,25,0.3,30,30,30,30,30,0,0,0.0,0.0,0.11351339317396876,0,0.0,0.0,0.11351339317396876,0,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,,,,,,,
unit_circle_S1__N100__L25_P050,unit_circle_S1,100,L25_P050,25,0.5,30,30,30,30,30,0,0,0.0,0.0,0.11351339317396876,0,0.0,0.0,0.11351339317396876,0,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,,,,,,,
unit_circle_S1__N300__L05_P010,unit_circle_S1,300,L05_P010,5,0.1,30,30,30,30,30,0,19,0.6333333333333333,0.45513563654794864,0.7812607919389929,19,0.6333333333333333,0.45513563654794864,0.7812607919389929,19,0.6333333333333333,0.45513563654794864,0.7812607919389929,0.6333333333333333,0.45513563654794864,0.7812607919389929,,,,,,,
unit_circle_S1__N300__L05_P030,unit_circle_S1,300,L05_P030,5,0.3,30,30,30,30,30,0,27,0.9,0.7437891742081592,0.9654001112526658,27,0.9,0.7437891742081592,0.9654001112526658,27,0.9,0.7437891742081592,0.9654001112526658,0.9,0.7437891742081592,0.9654001112526658,,,,,,,
unit_circle_S1__N300__L05_P050,unit_circle_S1,300,L05_P050,5,0.5,30,30,30,30,30,0,27,0.9,0.7437891742081592,0.9654001112526658,27,0.9,0.7437891742081592,0.9654001112526658,27,0.9,0.7437891742081592,0.9654001112526658,0.9,0.7437891742081592,0.9654001112526658,,,,,,,
unit_circle_S1__N300__L15_P010,unit_circle_S1,300,L15_P010,15,0.1,30,30,30,30,30,0,0,0.0,0.0,0.11351339317396876,0,0.0,0.0,0.11351339317396876,0,0.0,0.0,0.11351339317396876,0.0,0.0,0.11351339317396876,,,,,,,
unit_circle_S1__N300__L15_P030,unit_circle_S1,300,L15_P030,15,0.3,30,30,30,30,30,0,9,0.3,0.16664748268243795,0.4787578745871494,9,0.3,0.16664748268243795,0.4787578745871494,9,0.3,0.16664748268243795,0.4787578745871494,0.3,0.16664748268243795,0.4787578745871494,,,,,,,
unit_circle_S1__N300__L15_P050,unit_circle_S1,300,L15_P050,15,0.5,30,30,30,30,30,0,27,0.9,0.7437891742081592,0.9654001112526658,27,0.9,0.7437891742081592,0.9654001112526658,27,0.9,0.7437891742081592,0.9654001112526658,0.9,0.7437891742081592,0.9654001112526658,,,,,,,
