planned_unit_id,run_id,original_raw_record_sha256,original_reference_filter_id,original_mapper_filter_id,original_reference_filter_definition_hash,original_mapper_filter_definition_hash,original_same_filter_contract,original_scientific_evidence_eligible,audited_reference_filter_id,audited_mapper_filter_id,audited_reference_filter_definition_sha256,audited_mapper_filter_definition_sha256,same_filter_contract_requalified,scientific_evidence_eligible_requalified,requalification_reason,forensic_proof_id
III-2A__branching_tripod_Y__N1000__L05_P010,III-2A_Tripod_Cover_Landscape__branching_tripod_Y__N1000__rep0__L05_P010__c58bbbd06625d16c,fc8ee65b9d50799ded1ac245d53699b43279ffe8aca1190b7d26bedbc276bca8,tripod_height_y,tripod_height_y,height,height,False,False,tripod_height_y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__branching_tripod_Y__N1000__L05_P020,III-2A_Tripod_Cover_Landscape__branching_tripod_Y__N1000__rep0__L05_P020__bd33accfda1b44c6,fa772532cdb40396c6415921a22041d05ab094adffb44a1faf78133596033582,tripod_height_y,tripod_height_y,height,height,False,False,tripod_height_y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__branching_tripod_Y__N1000__L05_P030,III-2A_Tripod_Cover_Landscape__branching_tripod_Y__N1000__rep0__L05_P030__19672b73e6cf872a,8ee569e2beb0c6c660ad29a5c64b75081ff77304c9bf0820bd5c167a7d8d75f0,tripod_height_y,tripod_height_y,height,height,False,False,tripod_height_y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__branching_tripod_Y__N1000__L05_P040,III-2A_Tripod_Cover_Landscape__branching_tripod_Y__N1000__rep0__L05_P040__81bac130779318f0,08d5884b1ebc75ff2090967e36c28dbd9bee3ac08292e276da3748f701818b8d,tripod_height_y,tripod_height_y,height,height,False,False,tripod_height_y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__branching_tripod_Y__N1000__L05_P050,III-2A_Tripod_Cover_Landscape__branching_tripod_Y__N1000__rep0__L05_P050__1bde50bc9da172b8,584a72a9ee465f08216c0a95c26c0d73e89574ff0092d1692d1cec0e0fc293e7,tripod_height_y,tripod_height_y,height,height,False,False,tripod_height_y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__branching_tripod_Y__N1000__L10_P010,III-2A_Tripod_Cover_Landscape__branching_tripod_Y__N1000__rep0__L10_P010__4a4dfbc774b62759,66fc2e0fd8d6b898a180cded41844f5308c7dbf4da4430fed19074ffc57a1904,tripod_height_y,tripod_height_y,height,height,False,False,tripod_height_y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__branching_tripod_Y__N1000__L10_P020,III-2A_Tripod_Cover_Landscape__branching_tripod_Y__N1000__rep0__L10_P020__d247bb744f2e8fb3,c65d73c96feb734694a7cde5b5c26ba9d1939c3bb0ea790b4e4388e5f2384aa0,tripod_height_y,tripod_height_y,height,height,False,False,tripod_height_y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__branching_tripod_Y__N1000__L10_P040,III-2A_Tripod_Cover_Landscape__branching_tripod_Y__N1000__rep0__L10_P040__6ce446baec43e856,4460e7579eb8998d1e3936ac2d220dd0ffe122b50983f68fab3f63daa187da0d,tripod_height_y,tripod_height_y,height,height,False,False,tripod_height_y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__branching_tripod_Y__N1000__L10_P050,III-2A_Tripod_Cover_Landscape__branching_tripod_Y__N1000__rep0__L10_P050__161a35395510598f,3dc9371ee8f1ef0fb24854ae02ca0e68a1edceb29bab2841a8c1d41522f9a2de,tripod_height_y,tripod_height_y,height,height,False,False,tripod_height_y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
III-2A__branching_tripod_Y__N1000__L15_P010,III-2A_Tripod_Cover_Landscape__branching_tripod_Y__N1000__rep0__L15_P010__466c5fa97d9f5e3b,9d5517b018289824355e8737bcc1c3f15894b68ab1ea65a0132db3ec15617730,tripod_height_y,tripod_height_y,height,height,False,False,tripod_height_y,tripod_height_y,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,685f2da6e8571fb12140d8971dfbd5d3ef26b072a38a9c15a9cd1c68a955c3f4,True,True,Positional argument swap in resolve_canonical_filter fixed by authoritative height-y registry binding,SAME_FILTER_FORENSIC_PROOF_III2_V5
