edge_id,dataset_id,source_cover_id,target_cover_id,step_type,delta_n,delta_p,comparison_role,comparison_status,bottleneck_extended_pd,wasserstein_extended_pd,delta_V,delta_E,delta_beta1_graph,delta_beta1_nerve,ineligibility_reason
IB2_EDGE__unit_circle_S1__L05_P020__L05_P030,unit_circle_S1,L05_P020,L05_P030,overlap_step,0,0.1,ib2_adjacent,evaluated,0.021205420838510625,0.04241084167702125,0,0,0,0,
IB2_EDGE__unit_circle_S1__L05_P020__L10_P020,unit_circle_S1,L05_P020,L10_P020,resolution_step,5,0.0,ib2_adjacent,evaluated,0.08980297403601334,0.17960594807202668,10,10,0,0,
IB2_EDGE__unit_circle_S1__L05_P030__L05_P050,unit_circle_S1,L05_P030,L05_P050,overlap_step,0,0.2,ib2_adjacent,evaluated,0.04754261472842847,0.09508522945685693,0,0,0,0,
IB2_EDGE__unit_circle_S1__L05_P030__L10_P030,unit_circle_S1,L05_P030,L10_P030,resolution_step,5,0.0,ib2_adjacent,evaluated,0.0972117264849276,0.1944234529698552,10,10,0,0,
IB2_EDGE__unit_circle_S1__L05_P050__L10_P050,unit_circle_S1,L05_P050,L10_P050,resolution_step,5,0.0,ib2_adjacent,evaluated,0.11383530835622743,0.22767061671245492,10,10,0,0,
IB2_EDGE__unit_circle_S1__L10_P020__L10_P030,unit_circle_S1,L10_P020,L10_P030,overlap_step,0,0.1,ib2_adjacent,evaluated,0.01179508893823555,0.023590177876471108,0,0,0,0,
IB2_EDGE__unit_circle_S1__L10_P020__L15_P020,unit_circle_S1,L10_P020,L15_P020,resolution_step,5,0.0,ib2_adjacent,evaluated,0.030904981777166274,0.06180996355433255,10,10,0,0,
IB2_EDGE__unit_circle_S1__L10_P030__L10_P050,unit_circle_S1,L10_P030,L10_P050,overlap_step,0,0.2,ib2_adjacent,evaluated,0.035482729276164915,0.07096545855232983,0,0,0,0,
IB2_EDGE__unit_circle_S1__L10_P030__L15_P030,unit_circle_S1,L10_P030,L15_P030,resolution_step,5,0.0,ib2_adjacent,evaluated,0.0339674640415496,0.0679349280830992,10,10,0,0,
IB2_EDGE__unit_circle_S1__L10_P050__L15_P050,unit_circle_S1,L10_P050,L15_P050,resolution_step,5,0.0,ib2_adjacent,evaluated,0.045809242038285625,0.09161848407657125,10,10,0,0,
IB2_EDGE__unit_circle_S1__L15_P020__L15_P030,unit_circle_S1,L15_P020,L15_P030,overlap_step,0,0.1,ib2_adjacent,evaluated,0.00827535225893894,0.01655070451787788,0,0,0,0,
IB2_EDGE__unit_circle_S1__L15_P020__L20_P020,unit_circle_S1,L15_P020,L20_P020,resolution_step,5,0.0,ib2_adjacent,evaluated,0.015194302058612275,0.03038860411722455,10,10,0,0,
IB2_EDGE__unit_circle_S1__L15_P030__L15_P050,unit_circle_S1,L15_P030,L15_P050,overlap_step,0,0.2,ib2_adjacent,evaluated,0.023325747838415234,0.04665149567683047,0,0,0,0,
IB2_EDGE__unit_circle_S1__L15_P030__L20_P030,unit_circle_S1,L15_P030,L20_P030,resolution_step,5,0.0,ib2_adjacent,evaluated,0.01760123867224317,0.03520247734448634,10,10,0,0,
IB2_EDGE__unit_circle_S1__L15_P050__L20_P050,unit_circle_S1,L15_P050,L20_P050,resolution_step,5,0.0,ib2_adjacent,evaluated,0.021398131867222836,0.04279626373444567,10,10,0,0,
IB2_EDGE__unit_circle_S1__L20_P020__L20_P030,unit_circle_S1,L20_P020,L20_P030,overlap_step,0,0.1,ib2_adjacent,evaluated,0.005501496427061325,0.01100299285412265,0,0,0,0,
IB2_EDGE__unit_circle_S1__L20_P030__L20_P050,unit_circle_S1,L20_P030,L20_P050,overlap_step,0,0.2,ib2_adjacent,evaluated,0.019007391861438183,0.038014783722876366,0,0,0,0,
IB2_EDGE__swiss_roll_with_hole__L05_P020__L05_P030,swiss_roll_with_hole,L05_P020,L05_P030,overlap_step,0,0.1,ib2_adjacent,evaluated,0.47658113366169186,2.648374277051073,10,10,0,0,
IB2_EDGE__swiss_roll_with_hole__L05_P020__L10_P020,swiss_roll_with_hole,L05_P020,L10_P020,resolution_step,5,0.0,ib2_adjacent,evaluated,0.8024984179596641,5.745721279943241,21,22,1,1,
IB2_EDGE__swiss_roll_with_hole__L05_P030__L05_P050,swiss_roll_with_hole,L05_P030,L05_P050,overlap_step,0,0.2,ib2_adjacent,evaluated,0.29654423566349836,3.0082136320619512,27,27,0,0,
IB2_EDGE__swiss_roll_with_hole__L05_P030__L10_P030,swiss_roll_with_hole,L05_P030,L10_P030,resolution_step,5,0.0,ib2_adjacent,evaluated,0.5551376176908951,5.887952338512894,28,28,0,0,
IB2_EDGE__swiss_roll_with_hole__L05_P050__L10_P050,swiss_roll_with_hole,L05_P050,L10_P050,resolution_step,5,0.0,ib2_adjacent,evaluated,0.6554651177204107,3.4470610923033465,22,22,0,0,
IB2_EDGE__swiss_roll_with_hole__L10_P020__L10_P030,swiss_roll_with_hole,L10_P020,L10_P030,overlap_step,0,0.1,ib2_adjacent,evaluated,0.8024984179596641,3.768354327012754,17,16,1,1,
IB2_EDGE__swiss_roll_with_hole__L10_P020__L15_P020,swiss_roll_with_hole,L10_P020,L15_P020,resolution_step,5,0.0,ib2_adjacent,evaluated,0.6104137873424058,8.051148260480698,14,17,3,3,
IB2_EDGE__swiss_roll_with_hole__L10_P030__L10_P050,swiss_roll_with_hole,L10_P030,L10_P050,overlap_step,0,0.2,ib2_adjacent,evaluated,0.40725634953294687,5.136943447681188,21,21,0,0,
IB2_EDGE__swiss_roll_with_hole__L10_P030__L15_P030,swiss_roll_with_hole,L10_P030,L15_P030,resolution_step,5,0.0,ib2_adjacent,evaluated,0.5874199541998744,5.979764581165399,4,3,1,1,
IB2_EDGE__swiss_roll_with_hole__L10_P050__L15_P050,swiss_roll_with_hole,L10_P050,L15_P050,resolution_step,5,0.0,ib2_adjacent,evaluated,0.36379573684053845,4.44150232374362,21,21,0,0,
IB2_EDGE__swiss_roll_with_hole__L15_P020__L15_P030,swiss_roll_with_hole,L15_P020,L15_P030,overlap_step,0,0.1,ib2_adjacent,evaluated,0.6104137873424054,4.074452163326301,1,4,3,3,
IB2_EDGE__swiss_roll_with_hole__L15_P020__L20_P020,swiss_roll_with_hole,L15_P020,L20_P020,resolution_step,5,0.0,ib2_adjacent,evaluated,0.6087961863808795,6.868600068512973,9,7,2,2,
IB2_EDGE__swiss_roll_with_hole__L15_P030__L15_P050,swiss_roll_with_hole,L15_P030,L15_P050,overlap_step,0,0.2,ib2_adjacent,evaluated,0.5874199541998744,5.50640605557225,46,45,1,1,
IB2_EDGE__swiss_roll_with_hole__L15_P030__L20_P030,swiss_roll_with_hole,L15_P030,L20_P030,resolution_step,5,0.0,ib2_adjacent,evaluated,0.46263038661190503,5.4779566409291895,24,25,1,1,
IB2_EDGE__swiss_roll_with_hole__L15_P050__L20_P050,swiss_roll_with_hole,L15_P050,L20_P050,resolution_step,5,0.0,ib2_adjacent,evaluated,0.46837050411451964,4.4630333035568555,15,16,1,1,
IB2_EDGE__swiss_roll_with_hole__L20_P020__L20_P030,swiss_roll_with_hole,L20_P020,L20_P030,overlap_step,0,0.1,ib2_adjacent,evaluated,0.2167225338003549,2.1256848134138586,14,14,0,0,
