spoke_id,cell_n_nodes,cell_n_edges,cell_n_components,cell_beta_0_graph,cell_beta_1_graph,cell_n_simplices_2d,cell_beta_0_nerve,cell_beta_1_nerve,cell_d1_d2_zero_mod2,ref_n_nodes,ref_n_edges,ref_n_components,ref_beta_0_graph,ref_beta_1_graph,ref_n_simplices_2d,ref_beta_0_nerve,ref_beta_1_nerve,ref_d1_d2_zero_mod2
IV1CA__unit_circle_S1__L05_P020,8,8,1,1,1,0,1,1,True,18,18,1,1,1,0,1,1,True
IV1CA__unit_circle_S1__L05_P030,8,8,1,1,1,0,1,1,True,18,18,1,1,1,0,1,1,True
IV1CA__unit_circle_S1__L05_P050,8,8,1,1,1,0,1,1,True,18,18,1,1,1,0,1,1,True
IV1CA__unit_circle_S1__L10_P020,18,18,1,1,1,0,1,1,True,18,18,1,1,1,0,1,1,True
IV1CA__unit_circle_S1__L10_P050,18,18,1,1,1,0,1,1,True,18,18,1,1,1,0,1,1,True
IV1CA__unit_circle_S1__L15_P020,28,28,1,1,1,0,1,1,True,18,18,1,1,1,0,1,1,True
IV1CA__unit_circle_S1__L15_P030,28,28,1,1,1,0,1,1,True,18,18,1,1,1,0,1,1,True
IV1CA__unit_circle_S1__L15_P050,28,28,1,1,1,0,1,1,True,18,18,1,1,1,0,1,1,True
IV1CA__unit_circle_S1__L20_P020,38,38,1,1,1,0,1,1,True,18,18,1,1,1,0,1,1,True
IV1CA__unit_circle_S1__L20_P030,38,38,1,1,1,0,1,1,True,18,18,1,1,1,0,1,1,True
IV1CA__unit_circle_S1__L20_P050,38,38,1,1,1,0,1,1,True,18,18,1,1,1,0,1,1,True
IV1CA__swiss_roll_with_hole__L05_P020,106,26,80,80,0,0,80,0,True,144,64,80,80,0,0,80,0,True
IV1CA__swiss_roll_with_hole__L05_P030,116,36,80,80,0,0,80,0,True,144,64,80,80,0,0,80,0,True
IV1CA__swiss_roll_with_hole__L05_P050,143,63,80,80,0,0,80,0,True,144,64,80,80,0,0,80,0,True
IV1CA__swiss_roll_with_hole__L10_P020,127,48,80,80,1,0,80,1,True,144,64,80,80,0,0,80,0,True
IV1CA__swiss_roll_with_hole__L10_P050,165,85,80,80,0,0,80,0,True,144,64,80,80,0,0,80,0,True
IV1CA__swiss_roll_with_hole__L15_P020,141,65,80,80,4,0,80,4,True,144,64,80,80,0,0,80,0,True
IV1CA__swiss_roll_with_hole__L15_P030,140,61,80,80,1,0,80,1,True,144,64,80,80,0,0,80,0,True
IV1CA__swiss_roll_with_hole__L15_P050,186,106,80,80,0,0,80,0,True,144,64,80,80,0,0,80,0,True
IV1CA__swiss_roll_with_hole__L20_P020,150,72,80,80,2,0,80,2,True,144,64,80,80,0,0,80,0,True
IV1CA__swiss_roll_with_hole__L20_P030,164,86,80,80,2,0,80,2,True,144,64,80,80,0,0,80,0,True
IV1CA__swiss_roll_with_hole__L20_P050,201,122,80,80,1,0,80,1,True,144,64,80,80,0,0,80,0,True
IV1CA__digits_1797x64_scaled16__L05_P020,44,28,16,16,0,0,16,0,True,72,55,17,17,0,0,17,0,True
IV1CA__digits_1797x64_scaled16__L05_P030,45,32,13,13,0,0,13,0,True,72,55,17,17,0,0,17,0,True
IV1CA__digits_1797x64_scaled16__L05_P050,50,37,13,13,0,0,13,0,True,72,55,17,17,0,0,17,0,True
IV1CA__digits_1797x64_scaled16__L10_P020,72,52,21,21,1,0,21,1,True,72,55,17,17,0,0,17,0,True
IV1CA__digits_1797x64_scaled16__L10_P050,85,72,14,14,1,0,14,1,True,72,55,17,17,0,0,17,0,True
IV1CA__digits_1797x64_scaled16__L15_P020,93,73,24,24,4,0,24,4,True,72,55,17,17,0,0,17,0,True
IV1CA__digits_1797x64_scaled16__L15_P030,97,78,22,22,3,0,22,3,True,72,55,17,17,0,0,17,0,True
IV1CA__digits_1797x64_scaled16__L15_P050,113,99,18,18,4,0,18,4,True,72,55,17,17,0,0,17,0,True
IV1CA__digits_1797x64_scaled16__L20_P020,110,75,37,37,2,0,37,2,True,72,55,17,17,0,0,17,0,True
IV1CA__digits_1797x64_scaled16__L20_P030,115,92,27,27,4,0,27,4,True,72,55,17,17,0,0,17,0,True
IV1CA__digits_1797x64_scaled16__L20_P050,130,117,18,18,5,0,18,5,True,72,55,17,17,0,0,17,0,True
