spoke_id,dataset_id,cell_planned_unit_id,ref_planned_unit_id,cell_shared_construction_id,ref_shared_construction_id,cell_environment_id,ref_environment_id,cell_status,ref_status,cell_silhouette_macro,ref_silhouette_macro,delta_Q_silhouette,cell_davies_bouldin_macro,ref_davies_bouldin_macro,delta_Q_davies_bouldin,cell_silhouette_aggregation_reason,ref_silhouette_aggregation_reason,cell_davies_bouldin_aggregation_reason,ref_davies_bouldin_aggregation_reason,cell_n_pullbacks_declared,cell_n_pullbacks_nonempty,cell_n_pullbacks_eligible_silhouette,cell_n_pullbacks_eligible_davies_bouldin,cell_E_all_silhouette,cell_E_nonempty_silhouette,cell_E_all_davies_bouldin,cell_E_nonempty_davies_bouldin,ref_n_pullbacks_declared,ref_n_pullbacks_nonempty,ref_n_pullbacks_eligible_silhouette,ref_n_pullbacks_eligible_davies_bouldin,ref_E_all_silhouette,ref_E_nonempty_silhouette,ref_E_all_davies_bouldin,ref_E_nonempty_davies_bouldin
IV1CA__unit_circle_S1__L05_P020,unit_circle_S1,IB2_II2__unit_circle_S1__conventional__L05_P020,IB2_II2__unit_circle_S1__conventional__L10_P030,c4b0a6f01450c589190c03a73868939c031c891c8831ac3d2f2a3861ed298d10,4106605068c0ab17cca9d689d0f3e4c5e79ffaa4adc70e7048a9186289709719,876b65005c7df8031ffaa96350d9c359ac1f5527376926dfebd02ce4c69aca5a,876b65005c7df8031ffaa96350d9c359ac1f5527376926dfebd02ce4c69aca5a,success,success,0.9081169212166144,0.9392030198189358,-0.031086098602321477,0.13895316969116342,0.09009497504609215,0.04885819464507127,,,,,5,5,3,3,0.6,0.6,0.6,0.6,10,10,8,8,0.8,0.8,0.8,0.8
IV1CA__unit_circle_S1__L05_P030,unit_circle_S1,IB2_II2__unit_circle_S1__conventional__L05_P030,IB2_II2__unit_circle_S1__conventional__L10_P030,77990b50c4899dd583f4b8be1e3362b8a4ed3f435703750bf0ee4887c67a9d4f,4106605068c0ab17cca9d689d0f3e4c5e79ffaa4adc70e7048a9186289709719,876b65005c7df8031ffaa96350d9c359ac1f5527376926dfebd02ce4c69aca5a,876b65005c7df8031ffaa96350d9c359ac1f5527376926dfebd02ce4c69aca5a,success,success,0.8967832843487015,0.9392030198189358,-0.042419735470234365,0.15626170938231843,0.09009497504609215,0.06616673433622627,,,,,5,5,3,3,0.6,0.6,0.6,0.6,10,10,8,8,0.8,0.8,0.8,0.8
IV1CA__unit_circle_S1__L05_P050,unit_circle_S1,IB2_II2__unit_circle_S1__conventional__L05_P050,IB2_II2__unit_circle_S1__conventional__L10_P030,e6167b5161858fd66b95b94e113c1d5331e9ff58d29c3fd1013fcc6a9f995f70,4106605068c0ab17cca9d689d0f3e4c5e79ffaa4adc70e7048a9186289709719,876b65005c7df8031ffaa96350d9c359ac1f5527376926dfebd02ce4c69aca5a,876b65005c7df8031ffaa96350d9c359ac1f5527376926dfebd02ce4c69aca5a,success,success,0.8723403966011837,0.9392030198189358,-0.06686262321775216,0.19462584898643506,0.09009497504609215,0.10453087394034291,,,,,5,5,3,3,0.6,0.6,0.6,0.6,10,10,8,8,0.8,0.8,0.8,0.8
IV1CA__unit_circle_S1__L10_P020,unit_circle_S1,IB2_II2__unit_circle_S1__conventional__L10_P020,IB2_II2__unit_circle_S1__conventional__L10_P030,c2185445695cc1379e42106ab67de08c867803ac03360d845b114273f7b8caf8,4106605068c0ab17cca9d689d0f3e4c5e79ffaa4adc70e7048a9186289709719,876b65005c7df8031ffaa96350d9c359ac1f5527376926dfebd02ce4c69aca5a,876b65005c7df8031ffaa96350d9c359ac1f5527376926dfebd02ce4c69aca5a,success,success,0.9452286580463841,0.9392030198189358,0.006025638227448282,0.080699928662587,0.09009497504609215,-0.009395046383505148,,,,,10,10,8,8,0.8,0.8,0.8,0.8,10,10,8,8,0.8,0.8,0.8,0.8
IV1CA__unit_circle_S1__L10_P050,unit_circle_S1,IB2_II2__unit_circle_S1__conventional__L10_P050,IB2_II2__unit_circle_S1__conventional__L10_P030,bff28dc8db74fb7abc8b06b7a663c75f3d06022c089635329ee0dc9dbbd41135,4106605068c0ab17cca9d689d0f3e4c5e79ffaa4adc70e7048a9186289709719,876b65005c7df8031ffaa96350d9c359ac1f5527376926dfebd02ce4c69aca5a,876b65005c7df8031ffaa96350d9c359ac1f5527376926dfebd02ce4c69aca5a,success,success,0.9214191095575279,0.9392030198189358,-0.01778391026140791,0.1179611736273956,0.09009497504609215,0.027866198581303445,,,,,10,10,8,8,0.8,0.8,0.8,0.8,10,10,8,8,0.8,0.8,0.8,0.8
IV1CA__unit_circle_S1__L15_P020,unit_circle_S1,IB2_II2__unit_circle_S1__conventional__L15_P020,IB2_II2__unit_circle_S1__conventional__L10_P030,ba8d35634893309c28919a323019c0dae56603d225e046c5f8af65535a927cfa,4106605068c0ab17cca9d689d0f3e4c5e79ffaa4adc70e7048a9186289709719,876b65005c7df8031ffaa96350d9c359ac1f5527376926dfebd02ce4c69aca5a,876b65005c7df8031ffaa96350d9c359ac1f5527376926dfebd02ce4c69aca5a,success,success,0.9597733589196787,0.9392030198189358,0.020570339100742907,0.059651693062493856,0.09009497504609215,-0.030443281983598296,,,,,15,15,13,13,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,10,10,8,8,0.8,0.8,0.8,0.8
IV1CA__unit_circle_S1__L15_P030,unit_circle_S1,IB2_II2__unit_circle_S1__conventional__L15_P030,IB2_II2__unit_circle_S1__conventional__L10_P030,87285f93539afe3b36abd9d9372275310e969a043bd06be6deeca0c1964b20b0,4106605068c0ab17cca9d689d0f3e4c5e79ffaa4adc70e7048a9186289709719,876b65005c7df8031ffaa96350d9c359ac1f5527376926dfebd02ce4c69aca5a,876b65005c7df8031ffaa96350d9c359ac1f5527376926dfebd02ce4c69aca5a,success,success,0.9553933892073102,0.9392030198189358,0.01619036938837437,0.06583751707812281,0.09009497504609215,-0.02425745796796934,,,,,15,15,13,13,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,10,10,8,8,0.8,0.8,0.8,0.8
IV1CA__unit_circle_S1__L15_P050,unit_circle_S1,IB2_II2__unit_circle_S1__conventional__L15_P050,IB2_II2__unit_circle_S1__conventional__L10_P030,de35f64c7a9f30247e5c19394a5bad28c364a5b9b361320806e1a64d570c38a1,4106605068c0ab17cca9d689d0f3e4c5e79ffaa4adc70e7048a9186289709719,876b65005c7df8031ffaa96350d9c359ac1f5527376926dfebd02ce4c69aca5a,876b65005c7df8031ffaa96350d9c359ac1f5527376926dfebd02ce4c69aca5a,success,success,0.9404468337656714,0.9392030198189358,0.0012438139467355613,0.08760228676210471,0.09009497504609215,-0.0024926882839874376,,,,,15,15,13,13,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,10,10,8,8,0.8,0.8,0.8,0.8
IV1CA__unit_circle_S1__L20_P020,unit_circle_S1,IB2_II2__unit_circle_S1__conventional__L20_P020,IB2_II2__unit_circle_S1__conventional__L10_P030,f6ca736171348a1aa564a916cae3f84398c39985f54567df33ce23d2280bd347,4106605068c0ab17cca9d689d0f3e4c5e79ffaa4adc70e7048a9186289709719,876b65005c7df8031ffaa96350d9c359ac1f5527376926dfebd02ce4c69aca5a,876b65005c7df8031ffaa96350d9c359ac1f5527376926dfebd02ce4c69aca5a,success,success,0.9664854952922121,0.9392030198189358,0.027282475473276224,0.0489357634559087,0.09009497504609215,-0.04115921159018345,,,,,20,20,18,18,0.9,0.9,0.9,0.9,10,10,8,8,0.8,0.8,0.8,0.8
IV1CA__unit_circle_S1__L20_P030,unit_circle_S1,IB2_II2__unit_circle_S1__conventional__L20_P030,IB2_II2__unit_circle_S1__conventional__L10_P030,5ea8059a72898e70f96e9f4002aed32357bb102457c62de540ef03d5786af8fa,4106605068c0ab17cca9d689d0f3e4c5e79ffaa4adc70e7048a9186289709719,876b65005c7df8031ffaa96350d9c359ac1f5527376926dfebd02ce4c69aca5a,876b65005c7df8031ffaa96350d9c359ac1f5527376926dfebd02ce4c69aca5a,success,success,0.9631414414881532,0.9392030198189358,0.023938421669217336,0.053862075692507644,0.09009497504609215,-0.03623289935358451,,,,,20,20,18,18,0.9,0.9,0.9,0.9,10,10,8,8,0.8,0.8,0.8,0.8
