spoke_id,dataset_id,cover_configuration_id,facet_class,is_ib2_anchor,sealed_ib2_edge_id,ref_diagram_sha256,cell_diagram_sha256,D_C,D_C_hex,D_C_repr,sealed_anchor_float_hex,sealed_anchor_repr,abs_diff_anchor,anchor_binary64_equal,disposition
IV1CA__unit_circle_S1__L05_P020,unit_circle_S1,L05_P020,mixed,False,,eb3470fcf52a428b0e7c8fe1581c1ba596229499ee44dd87585eac024e3dafc1,7f034530f4dd7088d5320ab6345fb9797964e1bc5707ddcba635b50d0f1ac1c4,0.07800788509777778,0x1.3f85323533888p-4,0.07800788509777778,,,,,evaluated
IV1CA__unit_circle_S1__L05_P030,unit_circle_S1,L05_P030,resolution_only,True,IB2_EDGE__unit_circle_S1__L05_P030__L10_P030,eb3470fcf52a428b0e7c8fe1581c1ba596229499ee44dd87585eac024e3dafc1,c84aeb595d86b0657d3e1a904f9206819d1af3f38649b84bd6d7fddb41c281f2,0.0972117264849276,0x1.8e2de220a5ba8p-4,0.0972117264849276,0x1.8e2de220a5ba8p-4,0.0972117264849276,0.0,True,evaluated_anchor_confirmed
IV1CA__unit_circle_S1__L05_P050,unit_circle_S1,L05_P050,mixed,False,,eb3470fcf52a428b0e7c8fe1581c1ba596229499ee44dd87585eac024e3dafc1,b79f94574f958433a338c4850eb2fac802c90bd9ae7d1ddd5d691313f6a11173,0.14001801806246572,0x1.1ec1c4436ea60p-3,0.14001801806246572,,,,,evaluated
IV1CA__unit_circle_S1__L10_P020,unit_circle_S1,L10_P020,overlap_only,True,IB2_EDGE__unit_circle_S1__L10_P020__L10_P030,eb3470fcf52a428b0e7c8fe1581c1ba596229499ee44dd87585eac024e3dafc1,6d32f9d34720b633e24448f1cd505cc8f3ce7fe3b6e0406544ef18a38bb9aacf,0.01179508893823555,0x1.8280609f1efbep-7,0.01179508893823555,0x1.8280609f1efbep-7,0.01179508893823555,0.0,True,evaluated_anchor_confirmed
IV1CA__unit_circle_S1__L10_P050,unit_circle_S1,L10_P050,overlap_only,True,IB2_EDGE__unit_circle_S1__L10_P030__L10_P050,eb3470fcf52a428b0e7c8fe1581c1ba596229499ee44dd87585eac024e3dafc1,e67ef376e7bb241055cad880abb665d456feca8ea44fa3761a0c10a6aac9682f,0.035482729276164915,0x1.22acad3a0be10p-5,0.035482729276164915,0x1.22acad3a0be10p-5,0.035482729276164915,0.0,True,evaluated_anchor_confirmed
IV1CA__unit_circle_S1__L15_P020,unit_circle_S1,L15_P020,mixed,False,,eb3470fcf52a428b0e7c8fe1581c1ba596229499ee44dd87585eac024e3dafc1,720c9bb91031d40c6b3412d7da40266e72817ff2e4ee8c7e0e3ba66b9c545498,0.04224281630048854,0x1.5a0d9b500c910p-5,0.04224281630048854,,,,,evaluated
IV1CA__unit_circle_S1__L15_P030,unit_circle_S1,L15_P030,resolution_only,True,IB2_EDGE__unit_circle_S1__L10_P030__L15_P030,eb3470fcf52a428b0e7c8fe1581c1ba596229499ee44dd87585eac024e3dafc1,3546c0e80e3e30e61a4ceb4d32782574f9d4d2e7541a2411c3c3a40e19eeaa28,0.0339674640415496,0x1.1642ef65f7e70p-5,0.0339674640415496,0x1.1642ef65f7e70p-5,0.0339674640415496,0.0,True,evaluated_anchor_confirmed
IV1CA__unit_circle_S1__L15_P050,unit_circle_S1,L15_P050,mixed,False,,eb3470fcf52a428b0e7c8fe1581c1ba596229499ee44dd87585eac024e3dafc1,52dc12965a948016fcb5afcd5f46629a581a74ab12628c7303f3fbeb38bf0ff8,0.010641716203134366,0x1.5cb52f886b540p-7,0.010641716203134366,,,,,evaluated
IV1CA__unit_circle_S1__L20_P020,unit_circle_S1,L20_P020,mixed,False,,eb3470fcf52a428b0e7c8fe1581c1ba596229499ee44dd87585eac024e3dafc1,1f617a92b202c240edb125a7437ccc1ffe6ac623cf98480ea438b140851ee76f,0.05548958329060938,0x1.c69217300f090p-5,0.05548958329060938,,,,,evaluated
IV1CA__unit_circle_S1__L20_P030,unit_circle_S1,L20_P030,resolution_only,False,,eb3470fcf52a428b0e7c8fe1581c1ba596229499ee44dd87585eac024e3dafc1,d3510b2ed10f89ce86f5ccfb17b82af1901cafff4a92792d82ebcb34e5f1b241,0.05104723993179537,0x1.a22dd241dc2bep-5,0.05104723993179537,,,,,evaluated
