run_id,dataset_id,method_id,noise_condition_id,noise_sigma,replication_id,perturbation_seed,data_seed,status,scientific_evidence_eligible,primary_stability_eligible,bottleneck_distance,wasserstein_distance,coverage_fraction,n_nodes,n_edges,n_components,beta_0_graph,beta_1_graph,beta_0_nerve,beta_1_nerve,wall_time_seconds,cpu_time_seconds
M6A2__swiss_roll_with_hole__conventional__sigma_0.00__rep0__3b96f0f2e3f276f4,swiss_roll_with_hole,conventional,sigma_0.00,0.0,0,,42,success,True,True,1.7375523025320634e-308,0.0,0.9544846050870147,144.0,64.0,80.0,80.0,0.0,80.0,0.0,0.05751925700042193,0.05750032400000027
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.00__rep0__ae0847ec6f406743,swiss_roll_with_hole,f_mapper,sigma_0.00,0.0,0,,42,success,True,True,2.1507699361758847e-308,0.0,0.9544846050870147,123.0,43.0,80.0,80.0,0.0,80.0,0.0,5.089225810999778,5.08818984
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep1__585e822912d37235,swiss_roll_with_hole,conventional,sigma_0.01,0.01,1,445561018.0,42,success,True,True,0.2582014612577259,0.9074373479529187,0.9531459170013387,143.0,63.0,80.0,80.0,0.0,80.0,0.0,0.03736354400007258,0.037358391999999796
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep1__bf0652bc6119fd6d,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,1,445561018.0,42,success,True,True,0.6456444099659993,1.2955278710829838,0.9531459170013387,127.0,47.0,80.0,80.0,0.0,80.0,0.0,5.25368812600027,5.252947817000001
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep2__96b506b9b06e78d7,swiss_roll_with_hole,conventional,sigma_0.01,0.01,2,994639277.0,42,success,True,True,0.2019856036410772,0.9229182778318652,0.9553770638107988,141.0,61.0,80.0,80.0,0.0,80.0,0.0,0.034339083999839204,0.03433844199999925
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep2__aaf6e2c2e5bcb5dd,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,2,994639277.0,42,success,True,True,0.6048431550508351,0.9657487251875665,0.9553770638107988,122.0,42.0,80.0,80.0,0.0,80.0,0.0,5.073509999000635,5.072685562000002
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep3__0ae94d0d1e613dd1,swiss_roll_with_hole,conventional,sigma_0.01,0.01,3,1330295147.0,42,success,True,True,0.621945630680127,2.14583844959029,0.9544846050870147,138.0,61.0,77.0,77.0,0.0,77.0,0.0,0.033077676000175416,0.033075118999999376
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep3__0eefc3fe280b0d9a,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,3,1330295147.0,42,success,True,True,0.42710606415304575,1.5395732605548371,0.9544846050870147,122.0,45.0,77.0,77.0,0.0,77.0,0.0,4.995881167000334,4.994767460999999
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep4__05477d232b894911,swiss_roll_with_hole,conventional,sigma_0.01,0.01,4,979196002.0,42,success,True,True,0.2019856036410772,0.8556687455317169,0.9518072289156626,139.0,60.0,79.0,79.0,0.0,79.0,0.0,0.031169594999482797,0.03116816700000058
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep4__37ea991d993b8024,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,4,979196002.0,42,success,True,True,0.18601053148585756,0.7846608771479886,0.9518072289156626,125.0,46.0,79.0,79.0,0.0,79.0,0.0,5.139850239000225,5.139219824000001
