dataset_id,method_id,noise_condition_id,noise_sigma,n_success,coverage_mean,n_nodes_mean,n_edges_mean,n_components_mean,beta_0_graph_mean,beta_1_graph_mean,beta_0_nerve_mean,beta_1_nerve_mean
swiss_roll_with_hole,conventional,sigma_0.00,0.0,1,0.9544846050870147,144.0,64.0,80.0,80.0,0.0,80.0,0.0
swiss_roll_with_hole,conventional,sigma_0.01,0.01,30,0.9541871188457534,141.1,60.6,80.5,80.5,0.0,80.5,0.0
swiss_roll_with_hole,conventional,sigma_0.03,0.03,30,0.9534731518667263,138.96666666666667,58.43333333333333,80.53333333333333,80.53333333333333,0.0,80.53333333333333,0.0
swiss_roll_with_hole,conventional,sigma_0.05,0.05,30,0.9507214041350587,142.73333333333332,60.666666666666664,82.1,82.1,0.03333333333333333,82.1,0.03333333333333333
swiss_roll_with_hole,conventional,sigma_0.08,0.08,30,0.9500966830284102,145.1,62.53333333333333,82.6,82.6,0.03333333333333333,82.6,0.03333333333333333
swiss_roll_with_hole,conventional,sigma_0.10,0.1,30,0.9460062472110666,147.9,65.36666666666666,82.76666666666667,82.76666666666667,0.23333333333333334,82.76666666666667,0.23333333333333334
swiss_roll_with_hole,f_mapper,sigma_0.00,0.0,1,0.9544846050870147,123.0,43.0,80.0,80.0,0.0,80.0,0.0
swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,30,0.9541871188457534,125.3,44.8,80.5,80.5,0.0,80.5,0.0
swiss_roll_with_hole,f_mapper,sigma_0.03,0.03,30,0.9534731518667263,126.4,45.86666666666667,80.53333333333333,80.53333333333333,0.0,80.53333333333333,0.0
swiss_roll_with_hole,f_mapper,sigma_0.05,0.05,30,0.9507214041350587,128.76666666666668,46.7,82.1,82.1,0.03333333333333333,82.1,0.03333333333333333
swiss_roll_with_hole,f_mapper,sigma_0.08,0.08,30,0.9499776885319056,130.83333333333334,48.4,82.6,82.6,0.16666666666666666,82.6,0.16666666666666666
swiss_roll_with_hole,f_mapper,sigma_0.10,0.1,29,0.9449906907322777,133.44827586206895,50.93103448275862,82.72413793103448,82.72413793103448,0.20689655172413793,82.72413793103448,0.20689655172413793
