dataset_id,method_id,noise_sigma,N_intended,N_attempted,N_defined,N_excluded,mean,std,median,iqr
digits_1797x64_scaled16,conventional,0.0,1,1,1,0,0.0,0.0,0.0,0.0
digits_1797x64_scaled16,conventional,0.01,30,30,30,0,0.2737307579037533,0.05419422857421785,0.2717677831530391,0.03256489967681783
digits_1797x64_scaled16,conventional,0.03,30,30,30,0,0.5654691706895368,0.24046121100840037,0.5330003108098038,0.5031090432897993
digits_1797x64_scaled16,conventional,0.05,30,30,30,0,0.7875653094118896,0.18296186267684,0.821463332453492,0.12273582703217889
digits_1797x64_scaled16,conventional,0.08,30,30,30,0,1.0993845521815748,0.06651043975520168,1.1102615541725172,0.05833195455259266
digits_1797x64_scaled16,conventional,0.1,30,30,30,0,1.148533658725641,0.07672005243706845,1.1704316900096554,0.07717580285202152
digits_1797x64_scaled16,f_mapper,0.0,1,1,0,1,,,,
digits_1797x64_scaled16,f_mapper,0.01,30,30,0,30,,,,
digits_1797x64_scaled16,f_mapper,0.03,30,30,0,30,,,,
digits_1797x64_scaled16,f_mapper,0.05,30,30,0,30,,,,
digits_1797x64_scaled16,f_mapper,0.08,30,30,0,30,,,,
digits_1797x64_scaled16,f_mapper,0.1,30,30,0,30,,,,
