shared_construction_id,mapper_run_id,axis1_record_id,axis2_record_id,membership_payload_hash,dataset_hash,sigma,replicate_id,status,pullback_identity_match,linkage_valid
95bfc1283e54167b5bec7bc0bb95223dbda75d1deebc75d3e7a70321ee2dddfa,N1_C_DIGITS__conventional__sigma_0.00__rep00,AXIS1__N1_C_DIGITS__conventional__sigma_0.00__rep00,AXIS2__N1_C_DIGITS__conventional__sigma_0.00__rep00,d2ab8d059ec01132e501544efeddfed4dc7bf973a49647b435397d0db3762ea6,23a53393488b04f92efc45ebc92767e2dcfdf206ba37a928f497d261e42267d2,0.0,0,success,True,True
deea60d2bb1da4bf159488bddc8d545e57a86fe3d5519531a83cd5ce2bc44bf5,N1_C_DIGITS__f_mapper__sigma_0.00__rep00,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.00__rep00,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.00__rep00,,23a53393488b04f92efc45ebc92767e2dcfdf206ba37a928f497d261e42267d2,0.0,0,fcm_non_convergence,True,True
ab48b3cb0f868e2e96209899c76f901b390140d736840618778e313ac2d1ca29,N1_C_DIGITS__conventional__sigma_0.01__rep01,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep01,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep01,de2707db6675a2d5c0f494b32e90fd577687b3748d6f0e738a0e48216a2429e9,096d92bb0126e13a16ae60a3d1f3f29a96713ca0eec89a880b4e95bfd0370e6b,0.01,1,success,True,True
0eb5767c2e60c5f0335bd6500d4d1fe73414ccbe465751d9e774cf791fa22c5c,N1_C_DIGITS__f_mapper__sigma_0.01__rep01,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep01,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep01,31a0d133d1d01f0488f61398fdbb2ffe1d266daf2d886fecd7a183083c58d9be,096d92bb0126e13a16ae60a3d1f3f29a96713ca0eec89a880b4e95bfd0370e6b,0.01,1,success,True,True
92fa20a29c6b1a666b493ce3138227e2191e37d7a4034d6f439066252176d5ce,N1_C_DIGITS__conventional__sigma_0.01__rep02,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep02,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep02,4c2a1553facb7436073f034eb8ca483f2fb30d772456d4c6425cc3628396935e,30a2c34f2b888db7f1e1d62ee061c75bdb68a253ee880f7bd5e6804e096b9b35,0.01,2,success,True,True
6aeab5fbef049365546abd516bc768f5adba7c249eb2a4e410238fe339d2941c,N1_C_DIGITS__f_mapper__sigma_0.01__rep02,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep02,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep02,,30a2c34f2b888db7f1e1d62ee061c75bdb68a253ee880f7bd5e6804e096b9b35,0.01,2,fcm_non_convergence,True,True
20f9278432080a13db5c96fe71562eb3edbc30eefd315f285a0a0f0bd3883e76,N1_C_DIGITS__conventional__sigma_0.01__rep03,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep03,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep03,03464bcbd6f6c515388c015dfedb96ac4233e7aed883c1abdf37f3220a622b51,f1e8aa1ba1b555b03ab2dc7b63b6a2c55587e69c78fbc1cd0031b6e61dbf3c51,0.01,3,success,True,True
016f5ba9d681053c61baf1cf79e609cb116e2a93db1fa7fcc011ba456b274c50,N1_C_DIGITS__f_mapper__sigma_0.01__rep03,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep03,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep03,,f1e8aa1ba1b555b03ab2dc7b63b6a2c55587e69c78fbc1cd0031b6e61dbf3c51,0.01,3,fcm_non_convergence,True,True
9b1ddf8cc131b699e3e13009ddf536a1183c010b04d7ca5473a352b1a334f569,N1_C_DIGITS__conventional__sigma_0.01__rep04,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep04,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep04,3c2aff5e3a0d8628513b415f1782169387bfb15846e998e1a9de592148249e82,7bff1832109d7a41bcf50a95d306b6724d543eccca491cc6da253665f268f130,0.01,4,success,True,True
88422cb9d27ad475f247e7b6b78f87ad89798122e272023874cfb684cf726694,N1_C_DIGITS__f_mapper__sigma_0.01__rep04,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep04,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep04,,7bff1832109d7a41bcf50a95d306b6724d543eccca491cc6da253665f268f130,0.01,4,fcm_non_convergence,True,True
27e40215e0b02205cb0f9b869d75156ea7ec3ebcd128f3063d6d7b98f7807c69,N1_C_DIGITS__conventional__sigma_0.01__rep05,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep05,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep05,93beceb2f4f92f86f54ae6b3a84d932cb8ab7e2953b20c5980ae3c66d694adda,3ee9189aeafd2daf384b591c685b71a5a45be94ba8d424d581331008f5e853b6,0.01,5,success,True,True
77a2b795097876bf25ea0384fc69f33c03108827c53025cfe526e0cbc8f6bc0a,N1_C_DIGITS__f_mapper__sigma_0.01__rep05,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep05,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep05,,3ee9189aeafd2daf384b591c685b71a5a45be94ba8d424d581331008f5e853b6,0.01,5,fcm_non_convergence,True,True
68ad15ea461c2308873becb0513f58ac1fa3deccf2eec9e209775a8e4d48cc55,N1_C_DIGITS__conventional__sigma_0.01__rep06,AXIS1__N1_C_DIGITS__conventional__sigma_0.01__rep06,AXIS2__N1_C_DIGITS__conventional__sigma_0.01__rep06,b8794f2b9656534501994469a5da1f397c9f505fd3345ac4c4a69442a05e22b6,e9dfb7e8cf2d19924989bdde5dadec798a1bee29a050d56d4531a748459fe094,0.01,6,success,True,True
ecd25a00c561d6c1fb5192c8b48bc379dcf70a9c07fbe55361f988c22749f05b,N1_C_DIGITS__f_mapper__sigma_0.01__rep06,AXIS1__N1_C_DIGITS__f_mapper__sigma_0.01__rep06,AXIS2__N1_C_DIGITS__f_mapper__sigma_0.01__rep06,f732d687c0242ea02b331fee8661fd204b0f30d83388a25edccbad3bf5e7adb5,e9dfb7e8cf2d19924989bdde5dadec798a1bee29a050d56d4531a748459fe094,0.01,6,success,True,True
