dataset_id,method_id,noise_sigma,N_intended,N_attempted,N_success,N_fcm_nonconvergence,N_degenerate,N_other_failure,fcm_nonconvergence_rate,failure_rate
unit_circle_S1,conventional,0.0,1,1,1,0,0,0,0.0,0.0
unit_circle_S1,conventional,0.01,30,30,30,0,0,0,0.0,0.0
unit_circle_S1,conventional,0.03,30,30,30,0,0,0,0.0,0.0
unit_circle_S1,conventional,0.05,30,30,30,0,0,0,0.0,0.0
unit_circle_S1,conventional,0.08,30,30,30,0,0,0,0.0,0.0
unit_circle_S1,conventional,0.1,30,30,30,0,0,0,0.0,0.0
unit_circle_S1,f_mapper,0.0,1,1,1,0,0,0,0.0,0.0
unit_circle_S1,f_mapper,0.01,30,30,30,0,0,0,0.0,0.0
unit_circle_S1,f_mapper,0.03,30,30,30,0,0,0,0.0,0.0
unit_circle_S1,f_mapper,0.05,30,30,25,5,0,0,0.16666666666666666,0.16666666666666666
unit_circle_S1,f_mapper,0.08,30,30,24,6,0,0,0.2,0.2
unit_circle_S1,f_mapper,0.1,30,30,20,10,0,0,0.3333333333333333,0.3333333333333333
swiss_roll_with_hole,conventional,0.0,1,1,1,0,0,0,0.0,0.0
swiss_roll_with_hole,conventional,0.01,30,30,30,0,0,0,0.0,0.0
swiss_roll_with_hole,conventional,0.03,30,30,30,0,0,0,0.0,0.0
swiss_roll_with_hole,conventional,0.05,30,30,30,0,0,0,0.0,0.0
swiss_roll_with_hole,conventional,0.08,30,30,30,0,0,0,0.0,0.0
swiss_roll_with_hole,conventional,0.1,30,30,30,0,0,0,0.0,0.0
swiss_roll_with_hole,f_mapper,0.0,1,1,1,0,0,0,0.0,0.0
swiss_roll_with_hole,f_mapper,0.01,30,30,30,0,0,0,0.0,0.0
swiss_roll_with_hole,f_mapper,0.03,30,30,30,0,0,0,0.0,0.0
swiss_roll_with_hole,f_mapper,0.05,30,30,30,0,0,0,0.0,0.0
swiss_roll_with_hole,f_mapper,0.08,30,30,30,0,0,0,0.0,0.0
swiss_roll_with_hole,f_mapper,0.1,30,30,29,1,0,0,0.03333333333333333,0.03333333333333333
digits_1797x64_scaled16,conventional,0.0,1,1,1,0,0,0,0.0,0.0
digits_1797x64_scaled16,conventional,0.01,30,30,30,0,0,0,0.0,0.0
digits_1797x64_scaled16,conventional,0.03,30,30,30,0,0,0,0.0,0.0
digits_1797x64_scaled16,conventional,0.05,30,30,30,0,0,0,0.0,0.0
digits_1797x64_scaled16,conventional,0.08,30,30,30,0,0,0,0.0,0.0
digits_1797x64_scaled16,conventional,0.1,30,30,30,0,0,0,0.0,0.0
digits_1797x64_scaled16,f_mapper,0.0,1,1,0,1,0,0,1.0,1.0
digits_1797x64_scaled16,f_mapper,0.01,30,30,9,21,0,0,0.7,0.7
digits_1797x64_scaled16,f_mapper,0.03,30,30,19,11,0,0,0.36666666666666664,0.36666666666666664
digits_1797x64_scaled16,f_mapper,0.05,30,30,13,17,0,0,0.5666666666666667,0.5666666666666667
digits_1797x64_scaled16,f_mapper,0.08,30,30,21,9,0,0,0.3,0.3
digits_1797x64_scaled16,f_mapper,0.1,30,30,16,14,0,0,0.4666666666666667,0.4666666666666667
