matched_index_id,historical_source_run_id,shared_construction_id,axis1_record_id,axis2_record_id,dataset_id,method_id,noise_sigma,replicate_id,clean_dataset_hash,perturbed_dataset_hash,evidence_role
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.00__rep0__clean,M6A__unit_circle_S1__N1000__conventional__sigma_0.00__rep0__clean,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__conventional__sigma_0.00__rep0__clean,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.00__rep0__clean,unit_circle_S1,conventional,0.0,0,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.00__rep0__clean,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.00__rep0__clean,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.00__rep0__clean,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.00__rep0__clean,unit_circle_S1,f_mapper,0.0,0,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep01,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep01,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep01,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep01,unit_circle_S1,conventional,0.01,1,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,af8f572d9c05df75970d732d93700573dcb5472090a519949c4990a3f273efe6,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep01,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep01,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep01,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep01,unit_circle_S1,f_mapper,0.01,1,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,af8f572d9c05df75970d732d93700573dcb5472090a519949c4990a3f273efe6,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep02,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep02,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep02,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep02,unit_circle_S1,conventional,0.01,2,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,9a361a7b780885532903f64b7af1331a5c887309017b6acf9eefffcc9d7d366b,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep02,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep02,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep02,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep02,unit_circle_S1,f_mapper,0.01,2,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,9a361a7b780885532903f64b7af1331a5c887309017b6acf9eefffcc9d7d366b,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep03,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep03,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep03,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep03,unit_circle_S1,conventional,0.01,3,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,361206fdbe6c0020d200d3712b0a0ad7b13fda0bfc2fc89fc069a21d734cf730,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep03,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep03,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep03,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep03,unit_circle_S1,f_mapper,0.01,3,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,361206fdbe6c0020d200d3712b0a0ad7b13fda0bfc2fc89fc069a21d734cf730,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep04,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep04,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep04,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep04,unit_circle_S1,conventional,0.01,4,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,c66a12bd4dd27d9c9913e0a7c68bcaa529673fdf42ef65c59c4a22993aee1ae3,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep04,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep04,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep04,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep04,unit_circle_S1,f_mapper,0.01,4,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,c66a12bd4dd27d9c9913e0a7c68bcaa529673fdf42ef65c59c4a22993aee1ae3,retrospective_axis2_derivation
