planned_unit_id,historical_source_run_id,dataset_id,method_id,sigma,replicate,r0_clean_match,r0_pert_match,historical_status,reconstructed_status,status_match,structural_fingerprint_match,pullback_identity_match,membership_persisted
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.00__rep0__clean,M6A__unit_circle_S1__N1000__conventional__sigma_0.00__rep0__clean,unit_circle_S1,conventional,0.0,0,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.00__rep0__clean,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.00__rep0__clean,unit_circle_S1,f_mapper,0.0,0,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep01,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep01,unit_circle_S1,conventional,0.01,1,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep01,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep01,unit_circle_S1,f_mapper,0.01,1,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep02,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep02,unit_circle_S1,conventional,0.01,2,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep02,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep02,unit_circle_S1,f_mapper,0.01,2,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep03,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep03,unit_circle_S1,conventional,0.01,3,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep03,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep03,unit_circle_S1,f_mapper,0.01,3,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep04,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep04,unit_circle_S1,conventional,0.01,4,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep04,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep04,unit_circle_S1,f_mapper,0.01,4,True,True,success,success,True,True,True,True
